*tech,region,sc_point_gid,year,capacity
wind-ons_9,b309,153,2010,148.3
wind-ons_8,b317,154,2010,799.1
wind-ons_9,b303,155,2010,847.0
wind-ons_8,b122,156,2010,713.5
wind-ons_9,b309,153,2011,148.3
wind-ons_8,b317,154,2011,799.1
wind-ons_9,b303,155,2011,847.0
wind-ons_8,b122,156,2011,713.5
wind-ons_9,b309,153,2012,148.3
wind-ons_8,b317,154,2012,799.1
wind-ons_9,b303,155,2012,847.0
wind-ons_8,b122,156,2012,713.5
wind-ons_9,b309,153,2013,148.3
wind-ons_8,b317,154,2013,799.1
wind-ons_9,b303,155,2013,847.0
wind-ons_8,b122,156,2013,713.5
wind-ons_9,b309,153,2014,148.3
wind-ons_8,b317,154,2014,799.1
wind-ons_9,b303,155,2014,847.0
wind-ons_8,b122,156,2014,713.5
wind-ons_9,b309,153,2015,148.3
wind-ons_8,b317,154,2015,799.1
wind-ons_9,b303,155,2015,847.0
wind-ons_8,b122,156,2015,713.5
wind-ons_9,b309,153,2016,148.3
wind-ons_8,b317,154,2016,799.1
wind-ons_9,b303,155,2016,847.0
wind-ons_8,b122,156,2016,713.5
wind-ons_9,b309,153,2017,148.3
wind-ons_8,b317,154,2017,799.1
wind-ons_9,b303,155,2017,847.0
wind-ons_8,b122,156,2017,713.5
wind-ons_9,b309,153,2018,148.3
wind-ons_8,b317,154,2018,799.1
wind-ons_9,b303,155,2018,847.0
wind-ons_8,b122,156,2018,713.5
wind-ons_9,b309,153,2019,148.3
wind-ons_8,b317,154,2019,799.1
wind-ons_9,b303,155,2019,847.0
wind-ons_8,b122,156,2019,713.5
wind-ons_9,b309,153,2020,148.3
wind-ons_8,b317,154,2020,799.1
wind-ons_9,b303,155,2020,847.0
wind-ons_8,b122,156,2020,713.5
wind-ons_9,b309,153,2021,148.3
wind-ons_8,b317,154,2021,799.1
wind-ons_9,b303,155,2021,847.0
wind-ons_8,b122,156,2021,713.5
wind-ons_9,b309,153,2022,148.3
wind-ons_8,b317,154,2022,799.1
wind-ons_9,b303,155,2022,847.0
wind-ons_8,b122,156,2022,713.5
wind-ons_9,b309,153,2023,148.3
wind-ons_8,b317,154,2023,799.1
wind-ons_9,b303,155,2023,847.0
wind-ons_8,b122,156,2023,713.5
wind-ons_9,b309,153,2024,148.3
wind-ons_8,b317,154,2024,799.1
wind-ons_9,b303,155,2024,847.0
wind-ons_8,b122,156,2024,713.5
wind-ons_9,b309,153,2025,148.3
wind-ons_8,b317,154,2025,799.1
wind-ons_9,b303,155,2025,847.0
wind-ons_8,b122,156,2025,713.5
wind-ons_9,b309,153,2026,148.3
wind-ons_8,b317,154,2026,799.1
wind-ons_9,b303,155,2026,847.0
wind-ons_8,b122,156,2026,713.5
wind-ons_9,b309,153,2027,148.3
wind-ons_8,b317,154,2027,799.1
wind-ons_9,b303,155,2027,847.0
wind-ons_8,b122,156,2027,713.5
wind-ons_9,b309,153,2028,148.3
wind-ons_8,b317,154,2028,799.1
wind-ons_9,b303,155,2028,847.0
wind-ons_8,b122,156,2028,713.5
wind-ons_9,b309,153,2029,148.3
wind-ons_8,b317,154,2029,799.1
wind-ons_9,b303,155,2029,847.0
wind-ons_8,b122,156,2029,713.5
wind-ons_9,b309,153,2030,148.3
wind-ons_8,b317,154,2030,799.1
wind-ons_9,b303,155,2030,847.0
wind-ons_8,b122,156,2030,713.5
wind-ons_9,b309,153,2031,148.3
wind-ons_8,b317,154,2031,799.1
wind-ons_9,b303,155,2031,847.0
wind-ons_8,b122,156,2031,713.5
wind-ons_9,b309,153,2032,148.3
wind-ons_8,b317,154,2032,799.1
wind-ons_9,b303,155,2032,847.0
wind-ons_8,b122,156,2032,713.5
wind-ons_9,b309,153,2033,148.3
wind-ons_8,b317,154,2033,799.1
wind-ons_9,b303,155,2033,847.0
wind-ons_8,b122,156,2033,713.5
wind-ons_9,b309,153,2034,148.3
wind-ons_8,b317,154,2034,799.1
wind-ons_9,b303,155,2034,847.0
wind-ons_8,b122,156,2034,713.5
wind-ons_9,b309,153,2035,148.3
wind-ons_8,b317,154,2035,799.1
wind-ons_9,b303,155,2035,847.0
wind-ons_8,b122,156,2035,713.5
wind-ons_9,b309,153,2036,148.3
wind-ons_8,b317,154,2036,799.1
wind-ons_9,b303,155,2036,847.0
wind-ons_8,b122,156,2036,713.5
wind-ons_9,b309,153,2037,148.3
wind-ons_8,b317,154,2037,799.1
wind-ons_9,b303,155,2037,847.0
wind-ons_8,b122,156,2037,713.5
wind-ons_9,b309,153,2038,148.3
wind-ons_8,b317,154,2038,799.1
wind-ons_9,b303,155,2038,847.0
wind-ons_8,b122,156,2038,713.5
wind-ons_9,b309,153,2039,148.3
wind-ons_8,b317,154,2039,799.1
wind-ons_9,b303,155,2039,847.0
wind-ons_8,b122,156,2039,713.5
wind-ons_9,b309,153,2040,148.3
wind-ons_9,b309,153,2041,148.3
wind-ons_9,b309,153,2042,148.3
