*r,cs
b107,Repetto_Sst1
b107,Repetto_Sst2a
b107,Repetto_Sst2b
b107,Repetto_Sst2c
b107,Repetto_Sst3a
b107,Repetto_Sst3b
b107,Repetto_Sst3c
b107,Repetto_Sst3d
b108,Repetto_Sst1
b108,Repetto_Sst2a
b108,Repetto_Sst2b
b108,Repetto_Sst2c
b108,Repetto_Sst3a
b108,Repetto_Sst3b
b108,Repetto_Sst3c
b108,Repetto_Sst3d
b201,Repetto_Sst1
b201,Repetto_Sst2a
b201,Repetto_Sst2b
b201,Repetto_Sst2c
b201,Repetto_Sst3a
b201,Repetto_Sst3b
b201,Repetto_Sst3c
b201,Repetto_Sst3d
b202,Repetto_Sst1
b202,Repetto_Sst2a
b202,Repetto_Sst2b
b202,Repetto_Sst2c
b202,Repetto_Sst3a
b202,Repetto_Sst3b
b202,Repetto_Sst3c
b202,Repetto_Sst3d
b203,Repetto_Sst1
b203,Repetto_Sst2a
b203,Repetto_Sst2b
b203,Repetto_Sst2c
b203,Repetto_Sst3a
b203,Repetto_Sst3b
b203,Repetto_Sst3c
b203,Repetto_Sst3d
b205,Repetto_Sst1
b205,Repetto_Sst2a
b205,Repetto_Sst2b
b205,Repetto_Sst2c
b205,Repetto_Sst3a
b205,Repetto_Sst3b
b205,Repetto_Sst3c
b205,Repetto_Sst3d
b206,Repetto_Sst1
b206,Repetto_Sst2a
b206,Repetto_Sst2b
b206,Repetto_Sst2c
b206,Repetto_Sst3a
b206,Repetto_Sst3b
b206,Repetto_Sst3c
b206,Repetto_Sst3d
b209,Repetto_Sst1
b209,Repetto_Sst2a
b209,Repetto_Sst2b
b209,Repetto_Sst2c
b209,Repetto_Sst3a
b209,Repetto_Sst3b
b209,Repetto_Sst3c
b209,Repetto_Sst3d
b210,Repetto_Sst1
b210,Repetto_Sst2a
b210,Repetto_Sst2b
b210,Repetto_Sst2c
b210,Repetto_Sst3a
b210,Repetto_Sst3b
b210,Repetto_Sst3c
b210,Repetto_Sst3d
b211,Repetto_Sst1
b211,Repetto_Sst2a
b211,Repetto_Sst2b
b211,Repetto_Sst2c
b211,Repetto_Sst3a
b211,Repetto_Sst3b
b211,Repetto_Sst3c
b211,Repetto_Sst3d
b212,Repetto_Sst1
b212,Repetto_Sst2a
b212,Repetto_Sst2b
b212,Repetto_Sst2c
b212,Repetto_Sst3a
b212,Repetto_Sst3b
b212,Repetto_Sst3c
b212,Repetto_Sst3d
b214,Repetto_Sst1
b214,Repetto_Sst2a
b214,Repetto_Sst2b
b214,Repetto_Sst2c
b214,Repetto_Sst3a
b214,Repetto_Sst3b
b214,Repetto_Sst3c
b214,Repetto_Sst3d
b224,Repetto_Sst1
b224,Repetto_Sst2a
b224,Repetto_Sst2b
b224,Repetto_Sst2c
b224,Repetto_Sst3a
b224,Repetto_Sst3b
b224,Repetto_Sst3c
b224,Repetto_Sst3d
b301,Moreno2
b301,Panoche1a
b301,Panoche1b
b301,Repetto_Sst1
b301,Repetto_Sst2a
b301,Repetto_Sst2b
b301,Repetto_Sst2c
b301,Repetto_Sst3a
b301,Repetto_Sst3b
b301,Repetto_Sst3c
b301,Repetto_Sst3d
b301,Stevens1
b301,Temblor1a
b301,Temblor1b
b301,Temblor2a
b301,Temblor2b
b301,Temblor3a
b301,Temblor3b
b301,Temblor3c
b302,Moreno2
b302,Panoche1a
b302,Panoche1b
b302,Repetto_Sst1
b302,Repetto_Sst2a
b302,Repetto_Sst2b
b302,Repetto_Sst2c
b302,Repetto_Sst3a
b302,Repetto_Sst3b
b302,Repetto_Sst3c
b302,Repetto_Sst3d
b302,Stevens1
b302,Temblor1a
b302,Temblor1b
b302,Temblor2a
b302,Temblor2b
b302,Temblor3a
b302,Temblor3b
b302,Temblor3c
b303,Moreno2
b303,Panoche1a
b303,Panoche1b
b303,Repetto_Sst1
b303,Repetto_Sst2a
b303,Repetto_Sst2b
b303,Repetto_Sst2c
b303,Repetto_Sst3a
b303,Repetto_Sst3b
b303,Repetto_Sst3c
b303,Repetto_Sst3d
b303,Stevens1
b303,Temblor1a
b303,Temblor1b
b303,Temblor2a
b303,Temblor2b
b303,Temblor3a
b303,Temblor3b
b303,Temblor3c
b305,Moreno2
b305,Panoche1a
b305,Panoche1b
b305,Repetto_Sst1
b305,Repetto_Sst2a
b305,Repetto_Sst2b
b305,Repetto_Sst2c
b305,Repetto_Sst3a
b305,Repetto_Sst3b
b305,Repetto_Sst3c
b305,Repetto_Sst3d
b305,Stevens1
b305,Temblor1a
b305,Temblor1b
b305,Temblor2a
b305,Temblor2b
b305,Temblor3a
b305,Temblor3b
b305,Temblor3c
b306,Moreno2
b306,Panoche1a
b306,Panoche1b
b306,Repetto_Sst1
b306,Repetto_Sst2a
b306,Repetto_Sst2b
b306,Repetto_Sst2c
b306,Repetto_Sst3a
b306,Repetto_Sst3b
b306,Repetto_Sst3c
b306,Repetto_Sst3d
b306,Stevens1
b306,Temblor1a
b306,Temblor1b
b306,Temblor2a
b306,Temblor2b
b306,Temblor3a
b306,Temblor3b
b306,Temblor3c
b314,Moreno2
b314,Panoche1a
b314,Panoche1b
b314,Repetto_Sst1
b314,Repetto_Sst2a
b314,Repetto_Sst2b
b314,Repetto_Sst2c
b314,Repetto_Sst3a
b314,Repetto_Sst3b
b314,Repetto_Sst3c
b314,Repetto_Sst3d
b314,Stevens1
b314,Temblor1a
b314,Temblor1b
b314,Temblor2a
b314,Temblor2b
b314,Temblor3a
b314,Temblor3b
b314,Temblor3c
b324,Moreno2
b324,Panoche1a
b324,Panoche1b
b324,Repetto_Sst1
b324,Repetto_Sst2a
b324,Repetto_Sst2b
b324,Repetto_Sst2c
b324,Repetto_Sst3a
b324,Repetto_Sst3b
b324,Repetto_Sst3c
b324,Repetto_Sst3d
b324,Stevens1
b324,Temblor1a
b324,Temblor1b
b324,Temblor2a
b324,Temblor2b
b324,Temblor3a
b324,Temblor3b
b324,Temblor3c
b304,Moreno2
b304,Panoche1a
b304,Panoche1b
b304,Repetto_Sst1
b304,Repetto_Sst2a
b304,Repetto_Sst2b
b304,Repetto_Sst2c
b304,Repetto_Sst3a
b304,Repetto_Sst3b
b304,Repetto_Sst3c
b304,Repetto_Sst3d
b304,Stevens1
b304,Temblor1a
b304,Temblor1b
b304,Temblor2a
b304,Temblor2b
b304,Temblor3a
b304,Temblor3b
b304,Temblor3c
b307,Moreno2
b307,Panoche1a
b307,Panoche1b
b307,Repetto_Sst1
b307,Repetto_Sst2a
b307,Repetto_Sst2b
b307,Repetto_Sst2c
b307,Repetto_Sst3a
b307,Repetto_Sst3b
b307,Repetto_Sst3c
b307,Repetto_Sst3d
b307,Stevens1
b307,Temblor1a
b307,Temblor1b
b307,Temblor2a
b307,Temblor2b
b307,Temblor3a
b307,Temblor3b
b307,Temblor3c
b308,Moreno2
b308,Panoche1a
b308,Panoche1b
b308,Repetto_Sst1
b308,Repetto_Sst2a
b308,Repetto_Sst2b
b308,Repetto_Sst2c
b308,Repetto_Sst3a
b308,Repetto_Sst3b
b308,Repetto_Sst3c
b308,Repetto_Sst3d
b308,Stevens1
b308,Temblor1a
b308,Temblor1b
b308,Temblor2a
b308,Temblor2b
b308,Temblor3a
b308,Temblor3b
b308,Temblor3c
b309,Moreno2
b309,Panoche1a
b309,Panoche1b
b309,Repetto_Sst1
b309,Repetto_Sst2a
b309,Repetto_Sst2b
b309,Repetto_Sst2c
b309,Repetto_Sst3a
b309,Repetto_Sst3b
b309,Repetto_Sst3c
b309,Repetto_Sst3d
b309,Stevens1
b309,Temblor1a
b309,Temblor1b
b309,Temblor2a
b309,Temblor2b
b309,Temblor3a
b309,Temblor3b
b309,Temblor3c
b310,Moreno2
b310,Panoche1a
b310,Panoche1b
b310,Repetto_Sst1
b310,Repetto_Sst2a
b310,Repetto_Sst2b
b310,Repetto_Sst2c
b310,Repetto_Sst3a
b310,Repetto_Sst3b
b310,Repetto_Sst3c
b310,Repetto_Sst3d
b310,Stevens1
b310,Temblor1a
b310,Temblor1b
b310,Temblor2a
b310,Temblor2b
b310,Temblor3a
b310,Temblor3b
b310,Temblor3c
b311,Moreno2
b311,Panoche1a
b311,Panoche1b
b311,Repetto_Sst1
b311,Repetto_Sst2a
b311,Repetto_Sst2b
b311,Repetto_Sst2c
b311,Repetto_Sst3a
b311,Repetto_Sst3b
b311,Repetto_Sst3c
b311,Repetto_Sst3d
b311,Stevens1
b311,Temblor1a
b311,Temblor1b
b311,Temblor2a
b311,Temblor2b
b311,Temblor3a
b311,Temblor3b
b311,Temblor3c
b312,Moreno2
b312,Panoche1a
b312,Panoche1b
b312,Repetto_Sst1
b312,Repetto_Sst2a
b312,Repetto_Sst2b
b312,Repetto_Sst2c
b312,Repetto_Sst3a
b312,Repetto_Sst3b
b312,Repetto_Sst3c
b312,Repetto_Sst3d
b312,Stevens1
b312,Temblor1a
b312,Temblor1b
b312,Temblor2a
b312,Temblor2b
b312,Temblor3a
b312,Temblor3b
b312,Temblor3c
b313,Moreno2
b313,Panoche1a
b313,Panoche1b
b313,Repetto_Sst1
b313,Repetto_Sst2a
b313,Repetto_Sst2b
b313,Repetto_Sst2c
b313,Repetto_Sst3a
b313,Repetto_Sst3b
b313,Repetto_Sst3c
b313,Repetto_Sst3d
b313,Stevens1
b313,Temblor1a
b313,Temblor1b
b313,Temblor2a
b313,Temblor2b
b313,Temblor3a
b313,Temblor3b
b313,Temblor3c
b103,Moreno2
b103,Panoche1a
b103,Panoche1b
b103,Repetto_Sst1
b103,Repetto_Sst2a
b103,Repetto_Sst2b
b103,Repetto_Sst2c
b103,Repetto_Sst3a
b103,Repetto_Sst3b
b103,Repetto_Sst3c
b103,Repetto_Sst3d
b103,Stevens1
b103,Temblor1a
b103,Temblor1b
b103,Temblor2a
b103,Temblor2b
b103,Temblor3a
b103,Temblor3b
b103,Temblor3c
b114,Moreno2
b114,Panoche1a
b114,Panoche1b
b114,Repetto_Sst1
b114,Repetto_Sst2a
b114,Repetto_Sst2b
b114,Repetto_Sst2c
b114,Repetto_Sst3a
b114,Repetto_Sst3b
b114,Repetto_Sst3c
b114,Repetto_Sst3d
b114,Stevens1
b114,Temblor1a
b114,Temblor1b
b114,Temblor2a
b114,Temblor2b
b114,Temblor3a
b114,Temblor3b
b114,Temblor3c
b115,Moreno2
b115,Panoche1a
b115,Panoche1b
b115,Repetto_Sst1
b115,Repetto_Sst2a
b115,Repetto_Sst2b
b115,Repetto_Sst2c
b115,Repetto_Sst3a
b115,Repetto_Sst3b
b115,Repetto_Sst3c
b115,Repetto_Sst3d
b115,Stevens1
b115,Temblor1a
b115,Temblor1b
b115,Temblor2a
b115,Temblor2b
b115,Temblor3a
b115,Temblor3b
b115,Temblor3c
b116,Moreno2
b116,Panoche1a
b116,Panoche1b
b116,Repetto_Sst1
b116,Repetto_Sst2a
b116,Repetto_Sst2b
b116,Repetto_Sst2c
b116,Repetto_Sst3a
b116,Repetto_Sst3b
b116,Repetto_Sst3c
b116,Repetto_Sst3d
b116,Stevens1
b116,Temblor1a
b116,Temblor1b
b116,Temblor2a
b116,Temblor2b
b116,Temblor3a
b116,Temblor3b
b116,Temblor3c
b117,Moreno2
b117,Panoche1a
b117,Panoche1b
b117,Repetto_Sst1
b117,Repetto_Sst2a
b117,Repetto_Sst2b
b117,Repetto_Sst2c
b117,Repetto_Sst3a
b117,Repetto_Sst3b
b117,Repetto_Sst3c
b117,Repetto_Sst3d
b117,Stevens1
b117,Temblor1a
b117,Temblor1b
b117,Temblor2a
b117,Temblor2b
b117,Temblor3a
b117,Temblor3b
b117,Temblor3c
b118,Moreno2
b118,Panoche1a
b118,Panoche1b
b118,Repetto_Sst1
b118,Repetto_Sst2a
b118,Repetto_Sst2b
b118,Repetto_Sst2c
b118,Repetto_Sst3a
b118,Repetto_Sst3b
b118,Repetto_Sst3c
b118,Repetto_Sst3d
b118,Stevens1
b118,Temblor1a
b118,Temblor1b
b118,Temblor2a
b118,Temblor2b
b118,Temblor3a
b118,Temblor3b
b118,Temblor3c
b119,Moreno2
b119,Panoche1a
b119,Panoche1b
b119,Repetto_Sst1
b119,Repetto_Sst2a
b119,Repetto_Sst2b
b119,Repetto_Sst2c
b119,Repetto_Sst3a
b119,Repetto_Sst3b
b119,Repetto_Sst3c
b119,Repetto_Sst3d
b119,Stevens1
b119,Temblor1a
b119,Temblor1b
b119,Temblor2a
b119,Temblor2b
b119,Temblor3a
b119,Temblor3b
b119,Temblor3c
b121,Moreno2
b121,Panoche1a
b121,Panoche1b
b121,Repetto_Sst1
b121,Repetto_Sst2a
b121,Repetto_Sst2b
b121,Repetto_Sst2c
b121,Repetto_Sst3a
b121,Repetto_Sst3b
b121,Repetto_Sst3c
b121,Repetto_Sst3d
b121,Stevens1
b121,Temblor1a
b121,Temblor1b
b121,Temblor2a
b121,Temblor2b
b121,Temblor3a
b121,Temblor3b
b121,Temblor3c
b124,Moreno2
b124,Panoche1a
b124,Panoche1b
b124,Repetto_Sst1
b124,Repetto_Sst2a
b124,Repetto_Sst2b
b124,Repetto_Sst2c
b124,Repetto_Sst3a
b124,Repetto_Sst3b
b124,Repetto_Sst3c
b124,Repetto_Sst3d
b124,Stevens1
b124,Temblor1a
b124,Temblor1b
b124,Temblor2a
b124,Temblor2b
b124,Temblor3a
b124,Temblor3b
b124,Temblor3c
b113,Moreno2
b113,Panoche1a
b113,Panoche1b
b113,Repetto_Sst1
b113,Repetto_Sst2a
b113,Repetto_Sst2b
b113,Repetto_Sst2c
b113,Repetto_Sst3a
b113,Repetto_Sst3b
b113,Repetto_Sst3c
b113,Repetto_Sst3d
b113,Stevens1
b113,Temblor1a
b113,Temblor1b
b113,Temblor2a
b113,Temblor2b
b113,Temblor3a
b113,Temblor3b
b113,Temblor3c
b120,Moreno2
b120,Panoche1a
b120,Panoche1b
b120,Repetto_Sst1
b120,Repetto_Sst2a
b120,Repetto_Sst2b
b120,Repetto_Sst2c
b120,Repetto_Sst3a
b120,Repetto_Sst3b
b120,Repetto_Sst3c
b120,Repetto_Sst3d
b120,Stevens1
b120,Temblor1a
b120,Temblor1b
b120,Temblor2a
b120,Temblor2b
b120,Temblor3a
b120,Temblor3b
b120,Temblor3c
b123,Moreno2
b123,Panoche1a
b123,Panoche1b
b123,Repetto_Sst1
b123,Repetto_Sst2a
b123,Repetto_Sst2b
b123,Repetto_Sst2c
b123,Repetto_Sst3a
b123,Repetto_Sst3b
b123,Repetto_Sst3c
b123,Repetto_Sst3d
b123,Stevens1
b123,Temblor1a
b123,Temblor1b
b123,Temblor2a
b123,Temblor2b
b123,Temblor3a
b123,Temblor3b
b123,Temblor3c
b217,Moreno2
b217,Panoche1a
b217,Panoche1b
b217,Repetto_Sst1
b217,Repetto_Sst2a
b217,Repetto_Sst2b
b217,Repetto_Sst2c
b217,Repetto_Sst3a
b217,Repetto_Sst3b
b217,Repetto_Sst3c
b217,Repetto_Sst3d
b217,Stevens1
b217,Temblor1a
b217,Temblor1b
b217,Temblor2a
b217,Temblor2b
b217,Temblor3a
b217,Temblor3b
b217,Temblor3c
b218,Moreno2
b218,Panoche1a
b218,Panoche1b
b218,Repetto_Sst1
b218,Repetto_Sst2a
b218,Repetto_Sst2b
b218,Repetto_Sst2c
b218,Repetto_Sst3a
b218,Repetto_Sst3b
b218,Repetto_Sst3c
b218,Repetto_Sst3d
b218,Stevens1
b218,Temblor1a
b218,Temblor1b
b218,Temblor2a
b218,Temblor2b
b218,Temblor3a
b218,Temblor3b
b218,Temblor3c
b220,Moreno2
b220,Panoche1a
b220,Panoche1b
b220,Repetto_Sst1
b220,Repetto_Sst2a
b220,Repetto_Sst2b
b220,Repetto_Sst2c
b220,Repetto_Sst3a
b220,Repetto_Sst3b
b220,Repetto_Sst3c
b220,Repetto_Sst3d
