r,i,reg_cap_cost_mult
b101,BATTERY,1
b101,biopower,1
b101,caes,1
b101,can-imports,1
b101,coal-CCS-F1,1
b101,coal-CCS-F2,1
b101,coal-CCS-F3,1
b101,Coal-IGCC,1
b101,coal-new,1
b101,CoalOldScr,1
b101,CoalOldUns,1
b101,CofireNew,1
b101,CofireOld,1
b101,csp1_1,1
b101,csp1_10,1
b101,csp1_11,1
b101,csp1_12,1
b101,csp1_2,1
b101,csp1_3,1
b101,csp1_4,1
b101,csp1_5,1
b101,csp1_6,1
b101,csp1_7,1
b101,csp1_8,1
b101,csp1_9,1
b101,dac,1
b101,distpv,1
b101,dupv_1,1
b101,dupv_10,1
b101,dupv_2,1
b101,dupv_3,1
b101,dupv_4,1
b101,dupv_5,1
b101,dupv_6,1
b101,dupv_7,1
b101,dupv_8,1
b101,dupv_9,1
b101,electrolyzer,1
b101,Gas-CC,1
b101,Gas-CC-CCS-F1,1
b101,Gas-CC-CCS-F2,1
b101,Gas-CC-CCS-F3,1
b101,Gas-CT,1
b101,hydD,1
b101,hydED,1
b101,hydEND,1
b101,hydND,1
b101,hydNPD,1
b101,hydNPND,1
b101,Hydro,1
b101,hydSD,1
b101,hydSND,1
b101,hydUD,1
b101,hydUND,1
b101,ice,1
b101,lfill-gas,1
b101,MHKwave,1
b101,Nuclear,1
b101,Nuclear-SMR,1
b101,Ocean,1
b101,o-g-s,1
b101,PSH,1
b101,H2-CC,1
b101,H2-CT,1
b101,smr,1
b101,smr_ccs,1
b101,UPV,1
b101,OFSWIND,1
b101,ONSWIND,1
b101,coal-CCS_mod,1
b101,coal-CCS_max,1
b101,Gas-CC-CCS_mod,1
b101,Gas-CC-CCS_max,1
b101,beccs_mod,1
b101,beccs_max,1
b101,dac_gas,1
b101,egs_allkm_1,1
b101,egs_allkm_2,1
b101,egs_allkm_3,1
b101,egs_allkm_4,1
b101,egs_allkm_5,1
b101,egs_allkm_6,1
b101,egs_allkm_7,1
b101,egs_allkm_8,1
b101,egs_allkm_9,1
b101,egs_allkm_10,1
b101,geohydro_allkm_1,1
b101,geohydro_allkm_2,1
b101,geohydro_allkm_3,1
b101,geohydro_allkm_4,1
b101,geohydro_allkm_5,1
b101,geohydro_allkm_6,1
b101,geohydro_allkm_7,1
b101,geohydro_allkm_8,1
b101,geohydro_allkm_9,1
b101,geohydro_allkm_10,1
b101,egs_nearfield_1,1
b101,egs_nearfield_2,1
b101,egs_nearfield_3,1
b101,egs_nearfield_4,1
b101,egs_nearfield_5,1
b101,egs_nearfield_6,1
b101,egs_nearfield_7,1
b101,egs_nearfield_8,1
b101,egs_nearfield_9,1
b101,egs_nearfield_10,1
b102,BATTERY,1
b102,biopower,1
b102,caes,1
b102,can-imports,1
b102,coal-CCS-F1,1
b102,coal-CCS-F2,1
b102,coal-CCS-F3,1
b102,Coal-IGCC,1
b102,coal-new,1
b102,CoalOldScr,1
b102,CoalOldUns,1
b102,CofireNew,1
b102,CofireOld,1
b102,csp1_1,1
b102,csp1_10,1
b102,csp1_11,1
b102,csp1_12,1
b102,csp1_2,1
b102,csp1_3,1
b102,csp1_4,1
b102,csp1_5,1
b102,csp1_6,1
b102,csp1_7,1
b102,csp1_8,1
b102,csp1_9,1
b102,dac,1
b102,distpv,1
b102,dupv_1,1
b102,dupv_10,1
b102,dupv_2,1
