r,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC,MEX
b207,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b208,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b101,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b104,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b105,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b106,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b109,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b110,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b111,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b112,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b102,0.0,0.0,0.0,0.781579667,0.0,0.218420333,0.0,0.0,0.0,0.0
b107,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b108,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b201,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b202,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b203,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b205,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b206,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b209,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b210,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b211,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b212,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b214,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b224,0.0,0.0,0.0,0.543055783,0.0,0.456944217,0.0,0.0,0.0,0.0
b301,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b302,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b303,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b305,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b306,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b314,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b324,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b304,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b307,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b308,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b309,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b310,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b311,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b312,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b313,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b103,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b114,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b115,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b116,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b117,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b118,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b119,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b121,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b124,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b113,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b120,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b123,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b217,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b218,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b220,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b221,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b315,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b316,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b317,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b318,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b319,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b320,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b321,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b322,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b323,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b325,0.0,0.0,0.0,0.197818753,0.0,0.802181247,0.0,0.0,0.0,0.0
b122,0.0,0.0,0.0,0.286475248,0.0,0.713524752,0.0,0.0,0.0,0.0
b204,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
b213,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
b215,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
b216,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
b219,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
b222,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
b223,0.0,0.0,0.0,0.436257059,0.0,0.563742941,0.0,0.0,0.0,0.0
